,price,signal,prediction,strategy
0,1.7399,sell,1.0,-1.7399
0,1.7382,buy,-1.0,-0.0017000000000000348
0,1.7392,sell,1.0,-1.7409000000000001
0,1.7414,sell,1.0,-3.4823000000000004
0,1.7409,sell,1.0,-5.2232
0,1.7404,sell,1.0,-6.9636000000000005
0,1.7405,sell,1.0,-8.7041
0,1.74,sell,1.0,-10.4441
0,1.7442,sell,1.0,-12.1883
0,1.7441,sell,1.0,-13.9324
0,1.7455,sell,1.0,-15.6779
0,1.7476,sell,1.0,-17.4255
0,1.7406,buy,-1.0,-15.684899999999999
0,1.7381,buy,-1.0,-13.9468
0,1.7383,buy,-1.0,-12.208499999999999
0,1.7425,sell,1.0,-13.950999999999999
0,1.742,buy,-1.0,-12.209
0,1.739,buy,-1.0,-10.469999999999999
0,1.7389,buy,-1.0,-8.7311
0,1.7409,buy,-1.0,-6.9902
0,1.7415,buy,-1.0,-5.2486999999999995
